#,WCAid,Nome,Evento,Oro,Argento,Bronzo,Totale
1,2022BOLD01,Loris Boldi,pyram,5,2,7,14
2,2019MAZZ01,Nicola Mazza,222,3,3,4,10
3,2022FIOR04,Francesco Fiore,sq1,2,4,5,11
4,2017SANN01,Valerio Sannito,222,2,3,4,9
5,2013SOLI02,Alessandro Solito,333bf,2,1,0,3
6,2019VALL10,Tea Raimondi Vallesi,minx,1,3,3,7
7,2022LESC02,Sebastiano Leschiutta,222,1,3,2,6
8,2024SIME01,Antonello Simeone,pyram,1,3,1,5
9,2019DONA03,Yuri Donati,pyram,1,2,2,5
10,2011VERD01,Andrew Verducci,333,1,2,1,4
11,2019CAMI03,Davide Camilleri,333,1,2,0,3
12,2017FOKI01,Alexandros Fokianos,333fm,1,1,1,3
13,2023SPEN01,Raffaele Russo Spena,333bf,1,1,0,2
15,2016IEZZ01,Francesco Iezzi,clock,1,0,2,3
14,2019COLA01,Valerio Colapinto,skewb,1,0,2,3
22,2018OPPI01,Leonardo Oppi,222,1,0,0,1
21,2013ZACC01,Giorgio Zaccaria,333bf,1,0,0,1
20,2016SPED01,Gabriele Spedicato,333fm,1,0,0,1
19,2022FIDO01,Giulio Romano Fidora,clock,1,0,0,1
18,2010VERD01,Francesco Verdicchio,magic,1,0,0,1
17,2022CAPA01,Rocco Daniele Capanna,pyram,1,0,0,1
16,2018BUZZ01,Gabriele Buzzi,sq1,1,0,0,1
23,2015NICO02,Lorenzo Nicotra,222,0,2,2,4
24,2008VIGA01,Giacomo Vigani,magic,0,2,1,3
25,2017SORR02,Mattia Sorrentino,pyram,0,2,0,2
36,2009GIOS01,Andrea Di Giosaffatte,333bf,0,1,1,2
35,2018ADAM13,Davide Adamo,333fm,0,1,1,2
34,2016PALI02,Caterina Pali,333oh,0,1,1,2
33,2010CHIO01,Roberta Chiovoloni,magic,0,1,1,2
32,2016LONG18,Gabriele Longo,minx,0,1,1,2
29,2010CAZZ01,Federico Cazzaniga,pyram,0,1,1,2
,2016LOBI01,Arcangelo Lobianco,pyram,0,1,1,2
,2017TSAK02,Mirko Tsakarissianos,pyram,0,1,1,2
28,2018RAND05,Leonardo Randacio,skewb,0,1,1,2
26,2013GUAR02,Lorenzo Guarini,sq1,0,1,1,2
,2023GEMO02,Francesco Giuseppe Gemona,sq1,0,1,1,2
51,2012MURC01,Davide Murciano,222,0,1,0,1
,2016ZANE01,Filippo Zanetti,222,0,1,0,1
,2020ZAGO01,Mattia Zago,222,0,1,0,1
,2024PRIS02,Giulio Prisciantelli,222,0,1,0,1
50,2010MAYE01,Michael Volpe Mayerle,333mbf,0,1,0,1
49,2020MARC01,Simone Marcellini,555,0,1,0,1
48,2018CILI01,Simone Cilia,777,0,1,0,1
47,2018BOFF01,Jacopo Antonio Boffa,clock,0,1,0,1
45,2007SCIB01,Emanuele Scibilia,magic,0,1,0,1
,2009GIOR02,Martino Giorgetti,magic,0,1,0,1
44,2011MARC02,Giovanni Marchetti,minx,0,1,0,1
40,2017GENT01,Lorenzo Gentili,pyram,0,1,0,1
,2019MIRA08,Gianpaolo Miranda,pyram,0,1,0,1
,2024FRAU01,Anita Francesca Frau,pyram,0,1,0,1
,2025FEGH01,Leonardo Feghali,pyram,0,1,0,1
38,2014CAST15,Martino Castellana,skewb,0,1,0,1
,2021GALA01,Riccardo Galanti,skewb,0,1,0,1
37,2014GERL01,Federico Gerli,sq1,0,1,0,1
55,2018FORL01,Nicola Forlai,333,0,0,3,3
61,2016GULI02,Salvatore Gulisano,333bf,0,0,2,2
60,2024PERD01,Alessia Perdichizzi,333fm,0,0,2,2
58,2013ANTI01,Marco Antinori,clock,0,0,2,2
,2017FASA02,Riccardo Fasan,clock,0,0,2,2
57,2008ROSS01,Paolo Rosson,minx,0,0,2,2
56,2013FARC01,Diego Eustachio Farchione,skewb,0,0,2,2
91,2012SIMO01,Alessandro Simone,222,0,0,1,1
,2014HUTO01,Tommy Hu,222,0,0,1,1
,2015BIAN03,Pietro Bianco,222,0,0,1,1
,2017CHEJ09,Jungqiang Chen,222,0,0,1,1
,2017LAMO01,Emanuele Lamon,222,0,0,1,1
,2022MARI21,Eren Alessio Marino,222,0,0,1,1
,2023AMAT01,Alessandro Amato,222,0,0,1,1
,2023PROV04,Riccardo Provenzani,222,0,0,1,1
86,2008DELU01,Filippo De Lucchi,333bf,0,0,1,1
,2011CORS01,Davide Corsi,333bf,0,0,1,1
,2015RINA01,Federico Rinalduzzi,333bf,0,0,1,1
,2021GALI02,Carlo Galimberti,333bf,0,0,1,1
,2021GULI01,Samuele Gulino,333bf,0,0,1,1
83,2011IRAC01,Alessandro Iraci,333fm,0,0,1,1
,2016RACI03,Riccardo Raciti,333fm,0,0,1,1
,2023NOVI01,Enrico Noviglio,333fm,0,0,1,1
82,2010DECA01,Nicola De Cao,333mbf,0,0,1,1
80,2017MAVE01,Leonardo Maver,333oh,0,0,1,1
,2024PAGO01,Giuseppe Pagoria,333oh,0,0,1,1
78,2021HUEB01,Noemi Hueber,444bf,0,0,1,1
,2023TRAN20,Flavio Tranquilli,444bf,0,0,1,1
77,2016RANN01,Luca Rannisi,555,0,0,1,1
75,2016BELL09,Lorenzo Bellocci,777,0,0,1,1
,2016PAPP02,Giuseppe Pappalardo,777,0,0,1,1
74,2022PRET04,Federico Preti,clock,0,0,1,1
72,2006BINE01,Matteo Binello,magic,0,0,1,1
,2009SOAR01,Giosuè Soardo,magic,0,0,1,1
71,2009MUSC01,Gianluca Muscò,mmagic,0,0,1,1
69,2011DUCH01,Gabriele Duchi,pyram,0,0,1,1
,2022INFU01,Simone Infunti,pyram,0,0,1,1
66,2016CUFA01,Martin Cufar,skewb,0,0,1,1
,2016SPRI01,Israel Springer,skewb,0,0,1,1
,2018VITA01,Alessio Vitale,skewb,0,0,1,1
62,2014AURE01,Lorenzo Aureli,sq1,0,0,1,1
,2017ZANI02,Michele Zanirato,sq1,0,0,1,1
,2018CANO06,Simone Canova,sq1,0,0,1,1
,2018REST04,Paolo Resta,sq1,0,0,1,1
